ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
5.81,5.81,12.18,6.38,9.39,8.02,8.51,11.82
10.72,15.94,14.92,3.29,12.93,9.30,14.65,20.45
21.91,34.6,6.6,18.59,15.05,8.64,33.23,37.96
27.44,43.58,45.04,27.61,12.62,14.74,42.52,46.19
19.87,28.36,8.77,14.92,11.73,22.13,29.03,30.31
9.48,7.09,21.82,3.82,16.42,29.69,6.29,10.63
8.73,6.52,12.8,12.57,18.28,27.26,13.99,7.49
15.76,14.61,22.88,17.66,16.25,20.00,17.26,8.90
15.8,13.86,11.78,10.32,10.10,12.53,8.99,10.63
4.7,6.34,7.09,15.89,9.35,10.54,30.09,34.29
15.18,16.51,12.18,8.73,12.09,15.54,52.56,54.50
14.7,19.47,27.79,33.72,25.75,28.85,62.51,61.18
10.98,13.28,10.67,3.29,30.49,36.06,55.43,45.66
9.3,12.57,14.92,11.65,37.65,36.10,19.87,15.23
4.52,5.28,5.94,9.74,29.07,29.03,6.34,9.35
3.82,6.6,9.96,10.23,28.72,18.68,6.87,15.63
6.12,12.26,11.87,15.94,25.53,19.12,21.51,26.29
6.78,13.86,11.25,10.76,23.54,17.70,22.92,23.59
4.83,10.05,4.44,20.67,16.55,18.37,13.81,14.39
3.77,7.13,3.42,12.22,10.14,14.56,14.70,18.32
4.17,5.5,14.74,22.35,8.95,11.42,17.57,21.07
3.02,4.79,9.61,8.59,10.27,7.71,14.12,20.27
8.9,6.69,8.37,19.47,11.25,12.66,4.92,12.93
11.2,4.48,6.29,8.86,11.96,17.40,7.27,4.66
8.02,4.35,6.96,6.96,17.62,28.41,10.89,5.98
4.61,6.52,9.79,7.13,18.59,23.41,4.52,7.44
14.79,9.26,17.04,3.86,23.45,19.08,13.24,6.38
18.81,7.4,23.99,6.25,19.61,13.72,20.89,5.63
15.18,6.03,2.58,4.48,21.02,20.23,19.39,11.47
9.61,7.49,4.22,9.7,16.20,22.97,16.69,15.32
6.12,9.79,10.76,4.22,15.58,24.65,14.87,16.78
2.67,8.99,9.66,4.92,10.54,15.98,13.99,12.71
4.08,4.88,13.64,11.25,14.96,19.43,17.44,11.29
6.25,2.49,10.63,7.05,16.33,19.74,26.59,13.06
7.49,3.37,15.98,5.54,27.26,30.80,21.69,8.81
5.41,2.45,3.33,2.8,23.19,30.97,8.73,13.72
5.37,5.54,10.36,11.29,23.32,30.62,8.20,21.69
4.66,8.06,14.43,13.28,12.80,25.53,9.26,16.55
2.09,9.66,14.96,4.3,9.21,17.48,7.97,8.24
