ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
16.38,13.59,5.98,7.67,10.01,5.45,11.47,8.46
10.85,8.59,7.36,6.6,11.20,7.75,11.87,10.32
7.44,8.9,11.11,9.83,13.02,7.53,12.44,14.08
11.91,12.49,10.05,8.9,11.65,10.81,15.89,18.50
10.85,12.8,8.37,15.67,10.36,12.18,18.28,20.76
10.41,14.3,8.64,5.54,14.12,17.48,12.04,15.36
11.96,15.71,9.61,15.1,18.63,18.63,7.18,4.08
9.08,13.59,3.42,3.68,22.39,19.61,7.62,3.02
9.08,12.66,10.23,13.11,17.97,14.92,17.13,8.24
16.02,17.84,11.65,17.75,15.14,12.22,28.67,16.86
12.13,11.16,21.07,18.01,13.68,11.42,30.58,19.56
